año,mes,reservas,cancelaciones,porcentaje_cancelaciones
2015,Septiembre,5114,2094,40.95
2015,Agosto,3889,1598,41.09
2015,Julio,2776,1259,45.35
2015,Diciembre,2920,973,33.32
2015,Noviembre,2340,486,20.77
2015,Octubre,4957,1732,34.94
2016,Septiembre,5394,2022,37.49
2016,Agosto,5063,1825,36.05
2016,Julio,4572,1499,32.79
2016,Junio,5292,2096,39.61
2016,Mayo,5478,1915,34.96
2016,Abril,5428,2061,37.97
2016,Marzo,4824,1477,30.62
2016,Febrero,3891,1337,34.36
2016,Diciembre,3860,1398,36.22
2016,Noviembre,4454,1636,36.73
2016,Octubre,6203,2514,40.53
2016,Enero,2248,557,24.78
2017,Agosto,4925,1816,36.87
2017,Julio,5313,1984,37.34
2017,Junio,5647,2439,43.19
2017,Mayo,6313,2762,43.75
2017,Abril,5661,2463,43.51
2017,Marzo,4970,1672,33.64
2017,Febrero,4177,1359,32.54
2017,Enero,3681,1250,33.96
